cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
0,1,1,35,1,0.46449828799814,1,aet,CR
0,2,6,35,2,0.446850817999803,1,aet,HI
1,1,4,23,1,0.412787105015013,1,aet,CR
1,2,3,23,2,0.410649858997203,1,aet,HI
0,1,4,23,1,0.298330594028812,1,aet,CR
1,1,6,35,1,0.370359109947458,1,aet,CR
0,2,1,23,2,0.499355366977397,1,aet,HI
0,2,6,23,2,0.438946751994081,1,aet,HI
0,2,5,35,2,0.496857078047469,1,aet,HI
0,2,4,35,2,0.410475095966831,1,aet,HI
0,2,3,35,2,0.347268700017594,1,aet,HI
1,2,6,11,2,0.371488100034185,1,aet,HI
1,1,3,23,1,0.445167733996641,1,aet,CR
1,1,5,35,1,0.384250102040824,1,aet,CR
1,2,4,23,2,0.378265623992775,1,aet,HI
0,1,4,23,1,0.374563212040812,1,aet,CR
1,1,3,23,1,0.312900943972636,1,aet,CR
1,1,2,35,1,0.345426872023381,1,aet,CR
1,2,1,23,2,0.321271409047768,1,aet,HI
0,1,2,35,1,0.914279457007069,1,aet,CR
1,1,3,11,1,0.468951894028578,1,aet,CR
0,1,6,35,1,0.580907577008475,1,aet,CR
1,2,2,35,2,0.415276193001773,1,aet,HI
1,1,3,23,1,0.357456614030525,1,aet,CR
0,1,6,11,1,0.438935458019841,1,aet,CR
0,1,1,23,1,0.376782779989298,1,aet,CR
0,2,1,11,1,0.470409495988861,0,aet,MI
0,1,5,23,1,0.502879867039155,1,aet,CR
1,2,5,35,2,0.430278003972489,1,aet,HI
0,2,3,23,2,1.44782969000516,1,aet,HI
1,2,1,35,2,0.423642779991496,1,aet,HI
0,2,1,23,2,0.43458079197444,1,aet,HI
0,2,2,35,2,0.543858685996383,1,aet,HI
1,1,4,23,1,0.408645663992502,1,aet,CR
1,1,1,35,1,0.410350829013623,1,aet,CR
0,2,2,11,1,0.524306710984092,0,aet,MI
1,1,2,23,1,1.12493534799432,1,aet,CR
0,2,6,11,1,0.644756282970775,0,aet,MI
0,2,1,11,1,0.434203155979048,0,aet,MI
1,1,6,35,1,0.442590930964798,1,aet,CR
0,1,4,35,1,0.43910074402811,1,aet,CR
1,1,2,11,1,0.455344657006208,1,aet,CR
1,1,1,23,1,0.390458879992366,1,aet,CR
0,2,3,11,1,0.410284402023535,0,aet,MI
0,2,1,11,1,0.482010043982882,0,aet,MI
1,2,4,35,2,0.598476581973955,1,aet,HI
0,2,3,23,1,0.556182183965575,0,aet,MI
0,1,5,23,1,1.19634387997212,1,aet,CR
0,1,2,11,1,0.490862424951047,1,aet,CR
1,1,5,23,1,0.45330939698033,1,aet,CR
1,1,1,35,1,0.389316216984298,1,aet,CR
0,1,1,11,1,0.380564301973209,1,aet,CR
1,2,2,11,1,0.451062216015998,0,aet,MI
0,2,2,35,1,0.568953462003265,0,aet,MI
1,1,4,35,1,0.346877295000013,1,aet,CR
1,2,6,23,2,0.469777566031553,1,aet,HI
0,2,5,11,1,0.462268483999651,0,aet,MI
0,1,1,11,1,0.432307466049679,1,aet,CR
0,1,3,11,1,0.518212232971564,1,aet,CR
1,1,3,35,1,0.465355309017468,1,aet,CR
1,2,4,35,2,0.404842751973774,1,aet,HI
1,2,5,11,2,0.623038958990946,1,aet,HI
1,1,4,35,1,0.362424934981391,1,aet,CR
1,1,2,23,1,0.574035864032339,1,aet,CR
0,2,3,11,1,0.408596066001337,0,aet,MI
0,2,4,35,2,0.417924601992127,1,aet,HI
1,1,5,35,1,0.320353458984755,1,aet,CR
1,1,4,11,1,0.373075267008971,1,aet,CR
1,1,1,11,1,0.38231968699256,1,aet,CR
1,1,3,35,1,0.347435452975333,1,aet,CR
0,1,3,11,1,0.33186509902589,1,aet,CR
1,2,1,23,2,0.368596222950146,1,aet,HI
0,1,4,23,1,0.40464984398568,1,aet,CR
1,1,5,23,1,0.398063394008204,1,aet,CR
0,1,2,23,1,0.620388224022463,1,aet,CR
1,1,6,23,1,0.330690418020822,1,aet,CR
0,1,5,11,1,0.511555863020476,1,aet,CR
1,2,2,35,2,0.456124357006047,1,aet,HI
1,2,5,11,1,0.436160996032413,0,aet,MI
1,1,2,35,1,0.385896454972681,1,aet,CR
0,2,2,11,1,0.382737797044683,0,aet,MI
0,1,3,11,1,0.487358970043715,1,aet,CR
0,2,5,11,1,0.504109708010219,0,aet,MI
1,2,5,35,2,0.426079472003039,1,aet,HI
0,2,3,35,2,0.465960500994697,1,aet,HI
0,1,3,23,1,0.476170837995596,1,aet,CR
0,2,3,11,1,0.387655658996664,0,aet,MI
1,2,3,35,2,0.375993283989374,1,aet,HI
1,1,6,11,1,0.397327286016662,1,aet,CR
0,2,5,35,2,0.466706982988399,1,aet,HI
1,1,5,11,1,0.354207327996846,1,aet,CR
0,2,5,23,2,0.523170038009994,1,aet,HI
0,2,1,35,2,0.458474299986847,1,aet,HI
1,1,2,23,1,0.426693970977794,1,aet,CR
1,2,6,35,2,0.442934855993371,1,aet,HI
1,2,2,35,2,0.440607058000751,1,aet,HI
1,2,3,23,2,0.345447152969427,1,aet,HI
1,2,6,11,1,0.986830317007843,0,aet,MI
0,2,4,11,2,0.385244221019093,1,aet,HI
1,1,6,11,1,0.326182062039152,1,aet,CR
1,2,1,35,2,0.381890205026139,1,aet,HI
0,1,4,11,1,0.429176154022571,1,aet,CR
1,2,4,11,1,0.497755958000198,0,aet,MI
0,2,2,35,2,0.42231317400001,1,aet,HI
0,1,5,23,1,0.429167808964849,1,aet,CR
0,2,2,23,2,0.408421330037527,1,aet,HI
1,2,6,23,2,0.434104246029165,1,aet,HI
0,1,6,35,1,0.475821329047903,1,aet,CR
0,2,5,23,2,0.376222060003784,1,aet,HI
1,2,5,35,2,0.417594381025992,1,aet,HI
0,1,6,23,1,0.392527732998133,1,aet,CR
0,2,4,11,2,0.358168367994949,1,aet,HI
1,2,2,23,2,0.384716656990349,1,aet,HI
1,2,3,35,2,0.372833289031405,1,aet,HI
0,2,6,23,2,0.418948899023235,1,aet,HI
1,1,6,23,1,0.348236071993597,1,aet,CR
1,1,5,35,1,0.399788874958176,1,aet,CR
1,2,3,35,2,0.322054304997437,1,aet,HI
1,1,6,35,1,0.357945124036632,1,aet,CR
1,1,4,11,1,0.411662980972324,1,aet,CR
0,2,3,35,2,0.381188419996761,1,aet,HI
1,1,1,11,1,0.38818202301627,1,aet,CR
0,1,3,35,1,0.491891991987359,1,aet,CR
1,1,1,23,1,0.388132411055267,1,aet,CR
0,2,4,11,1,0.400926603993867,0,aet,MI
1,2,4,11,1,0.622917532979045,0,aet,MI
0,1,1,23,1,0.409666346036829,1,aet,CR
0,1,3,35,1,0.411612445022911,1,aet,CR
1,2,4,23,1,0.258183092984837,0,aet,MI
1,1,2,11,1,0.346570805006195,1,aet,CR
1,1,5,11,1,0.356333317002282,1,aet,CR
0,1,3,23,1,0.415733307949267,1,aet,CR
0,2,5,35,2,0.367162645969074,1,aet,HI
0,1,1,23,1,0.388290039962158,1,aet,CR
1,1,3,11,1,0.342583450023085,1,aet,CR
0,2,2,23,1,0.627713901980314,0,aet,MI
1,2,4,23,2,0.385447582986671,1,aet,HI
0,2,6,23,2,0.40802758798236,1,aet,HI
0,1,4,35,1,0.475945747981314,1,aet,CR
0,1,6,35,1,0.483267028001137,1,aet,CR
0,1,2,35,1,0.456908629043028,1,aet,CR
1,2,1,11,1,0.633148056978825,0,aet,MI
1,1,5,23,1,0.579160267021507,1,aet,CR
